label,en,chs
LBL_BAREAREABUND,Bare area/bundle,基管面积/管束
LBL_BAREAREAUNIT,Bare area/unit (effective),基管面积/单位（有效）
LBL_BARETUBENUM,Bare tubes: number,基管：数量
LBL_BASE,Base,基地
LBL_BASETHK,Base thickness,底部厚度
LBL_BAYSPARAPERUNIT,Bays in parallel per unit,每个单元并列的托架
LBL_BAYSPARAUNIT,Bays in parallel/unit,并列的托架/单元
LBL_BE,BE,BE
LBL_BEHINDTUBE,Behind tube,管子后面
LBL_BETA,Beta,β
LBL_BETWEENPADS,Between pads,垫子之间
LBL_BEFOREEFFLEN,Before eff. Length,有效长度前
LBL_AFTEREFFLEN,After eff. Length,有效长度后
LBL_BLADE,Blade,叶片
LBL_BLADEANG,Blade angle,叶片角度
LBL_BLADES,blades,叶片
LBL_BLOCKEDSIDES,Blocked sides,阻挡侧
LBL_BOILFLOWREG,Boiling flow regime,沸腾流型
LBL_BOILMECH,Boiling mechanism,沸腾机制
LBL_BOILRANGE,Boiling range,沸腾范围
LBL_BOILREG,Boiling regime,沸腾型
LBL_BOILSIDEPIPDATA,Boiling Side Piping Data,沸腾侧的管道数据
LBL_BOILTHINFILMH,Boiling thin film h,沸腾的薄膜h
LBL_BOLTHING,Bolted / hinged,螺栓式/铰链式
LBL_BOND,Bond,绑定
LBL_BOTTOM,Bottom,底部
LBL_BOTTOMVALUE,Bottom value,底部数值
LBL_BOX,Box,盒子
LBL_BOXBURNINFO,Burner information for gas space,燃气空间的燃烧器信息
LBL_BOXBURNLOC,Burner Locations,燃烧器位置
LBL_BOXBURNMON,Burner monitor,燃烧器监测
LBL_BOXBURNPARAM,Burner Parameters,燃烧器参数
LBL_BOXGEO,Box Geometry,箱形状
LBL_BOXGSBURNPARAM,Gas Space Burner Parameters,燃气空间燃烧器参数
LBL_BOXGSCONFIG,Gas Space Configuration,气体空间配置
LBL_BOXHEATER,Box Heater,箱式加热器
LBL_BOXHEATLOSSCOEF,Heat Loss Coefficients,热损失系数
LBL_BOXINSCOEF,Insulation Specification,绝热规格
LBL_BOXINSMAT,Insulation Materials and Thickness,绝热材料和厚度
LBL_BOXNUMBURNERS,Number of Gas Space Burners,燃气空间燃烧器的数量
LBL_BOXOPTIONAL,Box Heater Optional Data,箱式加热器可选数据
LBL_BOXTUBEFLOWDIR,Tube Flow Direction,管内流动方向
LBL_BOXTUBELOC,Tube Locations,管位置
LBL_BOXTUBEPASSSEQ,Tube Pass Sequence,管程顺序
LBL_BOXTUBESECTGEO,Tube Section Geometry,管截面形状
LBL_BOXTUBESINKDEF,Tube Sink Definition,管状水槽的定义
LBL_BREECHING,Breeching,裂缝
LBL_BRNCIRDIA,Burner circle diameter,燃烧器圆直径
LBL_BRNDATA,Burner data,燃烧器数据
LBL_BRNDATASHT,Burner datasheet,燃烧器数据表
LBL_BRNFIREDATA,Burner firing data,燃烧器点火数据
LBL_BRNOXIDDENS,Burner oxidant density,燃烧器氧化剂密度
LBL_BRNOXIDTEMP,Burner oxidant temperature,燃烧器氧化剂温度
LBL_BRNOXIDVEL,Burner oxidant velocity,燃烧器氧化剂的速度
LBL_BRNPLENUM,Burner plenum,燃烧器的管子
LBL_BRNTILE,Burner tile,燃烧器瓷砖
LBL_BRNWALLTHK,Burner wall lining thickness,燃烧器壁衬厚度
LBL_BUBBLEPTAT,Bubble point at,气泡点在
LBL_BUBDEWPROPERTYDATA,Bubble/Dew Point Property Data,泡沫/露点属性数据
LBL_BULKFLUIDCOND,Bulk thermal conductivity,流体热导率
LBL_BULKFLUIDVISC,Bulk fluid viscosity,流体粘度
LBL_BULKPROC,Bulk processes,批量加工
LBL_BULKTEMP,Bulk temperature,流体温度
LBL_BUNDCROSSVEL,Bundle crossflow velocity,管束错流流速
LBL_BUNDENTREXIT,Bundle Entrance/Exit,管束进口/出口
LBL_BUNDIN,Bundle inlet,管束进口
LBL_BUNDLE,Bundle,管束
LBL_BUNDLEDATA,Bundle Data,管束数据
LBL_BUNDLEFLOWFRACT,Bundle flow fraction,管束流量分数
LBL_BUNDLEINFO,Bundle Information,管束信息
LBL_BUNDLELAYOUTDATA,Bundle Layout Data,管束排管数据
LBL_BUNDLETOP,Bundle top,管束顶部
LBL_BUNDNUM,Bundle Number,管束编号
LBL_BUNDOUT,Bundle outlet,管束出口
LBL_BUNDPARABAY,Bundles in parallel/bay,并列/海湾中的管束
LBL_BUNDPARAPERBAY,Bundles parallel per bay,捆绑式的每间房都是平行的
LBL_BUNDSHELLVEL,Bundle/shell velocity,捆绑/外壳速度
LBL_BUNDTOSHELL,Bundle-to-shell,捆绑到外壳
LBL_BUNDWID,Bundle width,管束宽度
LBL_BURNER,Burner,燃烧器
LBL_BURNERMOM,Burner momentum,燃烧器动力
LBL_BURNERNUM,Burner number,燃烧器编号
LBL_BURNERS,Burners,燃烧器
LBL_CALCABORT,Calculations Aborted,中断的计算
LBL_CALCAIRFLOWMALDIST,Calculated Airside Flow Maldistribution Profile,计算的空气侧流量不良分布图
LBL_CALCAIRTEMPMALDIST,Calculated Airside Temperature Maldistribution Profile,计算的空气侧温度不良分布图
LBL_CALCCONT,Calculations Continue,继续计算
LBL_CALCHEATFLUX,Calculated heat flux,计算的热通量
LBL_CALCHEATRELLHV,Calculated heat release (LHV),计算的热释放（LHV）
LBL_CALCINCR,Calculation increment,计算增量
LBL_CALCULATED,Calculated,计算的
LBL_CAPACITY,Capacity,能力
LBL_CASE,Case,工况
LBL_CASECONFIG,Case Configuration,工况配置
LBL_CASEDESC,Case Description,工况描述
LBL_CASINGMAT,Casing material,套管材料
LBL_CASINGTEMP,Casing temperature,套管温度
LBL_CASINGTHK,Casing thickness,套管厚度
LBL_CENTER,Center,中心
LBL_CENTSPACE,Central spacing,中心间距
LBL_CHANGE,Change,变化
LBL_CHANN,Channel,管箱
LBL_CHANNCOV,Channel Cover,管箱封头
LBL_CHANNMON,Channel Monitor,管箱监测
LBL_CHANNPRESSDROP,Channel pressure drop,通道压降
LBL_CHANNS,Channels,管箱
LBL_CHANNSEP,Channels separated,通道分离
LBL_CHANNSPAC,Channel spacing,通道间距
LBL_CHANNVEL,Channel velocity,通道速度
LBL_CHANNWID,Channel width,通道宽度
LBL_CHANSPECDATA,Channel Specification Data,通道规格数据
LBL_CHENNUM,Chen number,陈氏数
LBL_CHEVANG,Chevron angle,V角
LBL_CLEAN,Clean,清洁
LBL_CLEANCOEF,Clean coef,清洁系数
LBL_CLEARANCE,Clearance,清理
LBL_CLEARDATA,Clearance data,清理数据
LBL_CLOSURE,Closure,闭合
LBL_CMBAIR,Combustion air,燃烧空气
LBL_CMBDESCOND,Combustion design conditions,燃烧设计条件
LBL_CMBDIL,Combustion diluent,燃烧稀释剂
LBL_CMBFUEL,Combustion fuel,燃料
LBL_CMBOXID,Combustion oxidant,燃烧氧化剂
LBL_CMBSTRMPROP,Combustion Stream Properties,燃烧流属性
LBL_CO,CO,CO
LBL_COANAL,CO or NOx analyzer,CO或NOx分析仪
LBL_COCURRENT,Cocurrent,并流
LBL_COCURRENTFLOW,Cocurrent flow,并流
LBL_COILARR,Coil arrangement,芯体布置
LBL_COILDES,Coil design,线圈设计
LBL_COKEALLOW,Coking allowance,炼焦津贴
LBL_COKECOND,Coke thermal conductivity,焦炭的导热性能
LBL_COKELAYTHK,Coke layer thickness,焦炭层厚度
LBL_COLD,Cold,冷
LBL_COLDFILMCOEFF,Cold film coefficient,冷膜系数
LBL_COLDFLUID,Cold fluid,冷流体
LBL_COLDIN,Cold Inlet,冷进口
LBL_COLDINLETLOC,Cold inlet location,冷进口位置
LBL_COLDLEGSPANPROFILE,Leg B Span Profiles Table,腿部B跨度型材表
LBL_COLDOUT,Cold Outlet,冷出口
LBL_COLDPASSES,Cold Passes,冷流程数
LBL_COLDPASSNO,Cold pass #,冷流程
LBL_COLDPASSNUM,Cold pass number,冷流程序号
LBL_COLDPLATEWALLTEMP,Cold fluid plate wall temperature,冷流体板壁温度
LBL_COLDREG,Cold regime,寒冷制度
LBL_COLDSIDE,Coldside,冷侧
LBL_COLDSIDE2,Cold side,冷侧
LBL_COLDSIDEDELTAP,Coldside delta P,冷侧压差
LBL_COLDSIDEH,Coldside h,冷侧h
LBL_COLDUZARR,Cold U/Z arrangement,冷U/Z安排
LBL_COLINOUTCOL,Column / Inlet / Outlet / Column,立柱/进水口/出水口/立柱
LBL_COLUMNBOTTOM,Column bottom,柱底
LBL_COMBUSTION,Combustion,燃烧
LBL_COMMINT,Common / integra,共同的/不平等的
LBL_COMMONPLATEDATA,Common Plate Data,通用板块数据
LBL_COMMPLATEGEO,Common Plate Geometry,常见的板材几何形状
LBL_COMP,Composition,构成
LBL_COMPBOILMETHOD,Component boiling method,成分沸腾法
LBL_COMPONENT,Component,组成部分
LBL_COMPONENTDATA,Component Data,组件数据
LBL_COMPONENTNUMBER,Component number,部件编号
LBL_COMPVLEDATA,Component VLE Data,组件VLE数据
LBL_COND,Conductivity,导电性
LBL_CONDBOILCOEFF,Condensing/Boiling coefficient,冷凝/沸腾系数
LBL_CONDFILMCOEF,Condensate film coefficient,冷凝液薄膜系数
LBL_CONDFILMH,Condensate film h,冷凝液薄膜h
LBL_CONDREG,Condensate regime,冷凝液制度
LBL_CONEXPLOSS,Contraction/expansion loss,收缩/膨胀损失
LBL_CONFIG,Configuration,配置
LBL_CONNDIA,Connection diameter,连接直径
LBL_CONNECTIONS,Connections,连接
LBL_CONNMAT,Connection material,连接材料
LBL_CONT,CONT,CONT
LBL_CONTFJCURVEDATA,Control FJ-Curve Data,控制FJ-曲线数据
LBL_CONTINUE, (cont.),(续)
LBL_CONTLOSSTOWER,Contraction loss from tower,塔台的收缩损失
LBL_CONTMETHODSDATA,Control Methods Data,控制方法数据
LBL_CONTNAMEDATA,Control Name Data,控件名称数据
LBL_CONTROLDATA,Control Data,控制数据
LBL_CONTSAFETYDATA,Control Safety Data,控制安全数据
LBL_CONTSHELLSINSERIES,Control Shells-in-Series,系列中的控制壳
LBL_CONTUSERDEFMETH,Control User-Defined Methods Data,控制用户定义的方法数据
LBL_CONTVIBDATA,Control Vibration Data,控制振动数据
LBL_CONTVOL,Control volume,控制音量
LBL_CONV,Convective,对流性
LBL_CONVABREV,Conv.,Conv.
LBL_CONVBOILH,Conv. boiling h,Conv. 沸点h
LBL_CONVBOILH2,Convective boiling h,对流性沸腾h
LBL_CONVDUTY,Convection duty,对流工作
LBL_CONVECTIVE,Convective,对流性
LBL_CONVFRAC,Convective fraction,对流部分
LBL_CONVPRCMON,Convection Process Monitor,对流过程监控
LBL_CONVSEC,Convection section,对流部分
LBL_CONVSECGEO,Convection Section Geometry,对流部分的几何形状
LBL_CONVSECOUTSUM,Convection Section Output Summary,对流部分的输出摘要
LBL_CONVSECPERF,Convection Section Performance,对流部分的性能
LBL_CONVSECTFLUXDENS,"CONV. SECT. FLUX DENSITY, (BARE TUBE)",理事长 隔离区。 通量密度，(基管)
LBL_CONVSETLOSS,Convection setting loss,对流设置损失
LBL_CONVWTFAC,Convective weight factor,对流权重系数
LBL_CORBELWIDTH,Corbel width,墙角宽度
LBL_CORBELYN,Corbels (yes or no),灯柱（是或不是）
LBL_COREDIA,Core diameter,磁芯直径
LBL_CORRACT,Corrosion actual,腐蚀的实际情况
LBL_CORRALLOW,Corrosion allow,腐蚀允许
LBL_CORRALLOWSPEC,Corrosion allowance specified,指定的腐蚀津贴
LBL_CORRALLOWTUBE,"Corrosion allowance, tubes / fittings",腐蚀津贴，管道/配件
LBL_CORRFRACB,Corrosion fraction (B),腐蚀部分 (B)
LBL_CORRMTD,Corrected MTD,更正后的MTD
LBL_CORROSION,Corrosion,腐蚀
LBL_CORRPERCOVERD,Corrected percent overdesign,更正后的超额设计百分比
LBL_CORRRATE,Corrosion rate,腐蚀率
LBL_CORRTOO2,Corrected to 3% O2 (dry basis @ design heat release),纠正为3%的O2（干基，设计释放热量）。
LBL_COSTFACTOR,Cost Factor,成本因素
LBL_COUNT,Count,计数
LBL_COUNTERCURFLOW,Countercurrent flow,逆流
LBL_COUNTERCURRENT,Countercurrent,逆流
LBL_CRITGAPVEL,Critical Gap Velocity,临界缝隙速度
LBL_CRITHEATFLUX,Critical heat flux,临界热通量
LBL_CRITPRESS,Critical pressure,临界压力
LBL_CRITTEMP,Critical temperature,临界温度
LBL_CRITVEL,Critical velocity,临界速度
LBL_CRITVELRATIOMON,Critical Velocity Ratio Monitor,临界速度比显示器
LBL_CROSS,Cross,叉叉
LBL_CROSSAMP,Crossflow amplitude,横流振幅
LBL_CROSSFLOW,Crossflow,横流
LBL_CROSSFLOWFJCURVE,Shellside Crossflow FJ-Curve,壳边横流FJ-曲线
LBL_CROSSOVER,Crossover,交叉点
LBL_CROSSOVERS,Crossovers,交叉点
LBL_CROSSPASSES,Crosspasses,交叉通道
LBL_CROSSPASSINREG,Crosspasses in region,区域内的交叉通道
LBL_CROSSRHOVSQ,Crossflow RHO-V-SQ,横流RHO-V-SQ
LBL_CROSSSECTIONAREA,Cross section area,截面面积
LBL_CROSSSHELL,Crosspasses/shellpass,折流次数
LBL_CROSSVEL,Crossflow velocity,横流速度
LBL_CTRCTR,Ctr-Ctr,Ctr-Ctr
LBL_CUMMAREA,Cumulative area,累计面积
LBL_CUMMDUTY,Cumulative duty,累计关税
LBL_CUMUHEI,Cumulative height,累计高度
LBL_CUTTWIST,Cut/Twist,剪切/扭转
LBL_CWALLTEMP,Cold fluid tubewall temperature,冷流体管壁温度
LBL_CYLCONFIG,Cylindrical Heater Configuration,圆柱形加热器配置
LBL_CYLEMISS,Cylindrical Heater Emissivities,圆柱形加热器的辐射率
LBL_CYLENGBAL,Cylindrical Radiant Section Energy Balance,圆柱形辐射截面能量平衡
LBL_CYLFLUEGASCIRC,Cylindrical Heater Flue Gas Circulation,圆柱形加热器的烟道气循环
LBL_CYLHEATER,Cylindrical Heater,圆柱形加热器
LBL_CYLINSLOSSCOEF,Cylindrical Heater Insulation Loss Coefficients,圆柱形加热器的绝缘损耗系数
LBL_CYLPROCMETH,Heater Process Methods,加热器工艺方法
LBL_CYLTUBEGEO,Cylindrical Heater Tube Geometry,圆柱形加热管的几何形状
LBL_DAMPERS,Dampers,减震器
LBL_DAMPINGRATIO,Damping Ratio,阻尼比
LBL_DAMPINGRATIOTABLE,Damping Ratio Table,阻尼比表
LBL_DAMPREG,Damper or registers,风门或调节器
LBL_DATA,Data,数据
LBL_DATACHECKMESS,Data Check Messages,数据检查信息
LBL_DATAFATALMSGS,See Data Check Message Report for Fatal Messages.,参见《致命信息的数据检查信息报告》。
LBL_DATAINFOMSGS,See Data Check Messages Report for Informative Messages.,参见《数据检查信息报告》中的信息性信息。
LBL_DATANOMSGS,No Data Check Messages.,没有数据检查信息。
LBL_DATAUNITS,Units,单位
LBL_DATAWARNINGMSGS,See Data Check Messages Report for Warning Messages.,警告信息见数据检查信息报告。
LBL_DBLSEG,Double-Segmental,双段式
LBL_DBLSEG2,Double-Seg.,双色球。
LBL_DEBUGREPORT,Debug Report,调试报告
LBL_DEG,deg,°
LBL_DEG2,Deg,°
LBL_DEGREES,degrees,学位
LBL_DELTACORR,Delta MTD correction,Delta MTD校正
LBL_DEN,Density,密度
LBL_DESBASTUBEWALL,Design basis: tube wall thickness (code or specification),设计依据：管壁厚度（法规或规范）。
LBL_DESCEXTSURF,Description of extended surface,扩展面的描述
LBL_DESCONSTRAINTSDATA,Design Constraints Data,设计约束条件数据
LBL_DESCRIT,Design criterion,设计标准
LBL_DESFLDTEMP,Design fluid temperature,设计流体温度
LBL_DESFLUEGASVEL,Design flue gas velocity,设计烟气速度
LBL_DESIGN,Design,设计
LBL_DESIGNDATA,Design Data,设计数据
LBL_DESIGNGEOMETRYDATA,Design Geometry Data,设计几何数据
LBL_DESLIFESTRESS,Design life for stress,压力的设计寿命
LBL_DESMETTEMP,Design metal temperature,设计金属温度
LBL_DESMODEUOP,HTRI has not confirmed nor endorsed the UOP heat transfer and pressure drop correlations used,HTRI没有确认也没有认可UOP所使用的传热和压降的相关性。
LBL_DESOPTIONSDATA,Design Options Data,设计选项数据
LBL_DESPRESAVG,Design pressure (average),设计压力（平均）
LBL_DESPRESELRUP,"Design pressure, elastic / rupture",设计压力，弹性/断裂
LBL_DESRES,Design results,设计结果
LBL_DESTUBEMETTEMP,Design tube metal temperature,设计管金属温度
LBL_DESWARNINGSDATA,Design Warnings Data,设计警告数据
LBL_DETAPIPINFO,Detailed Piping Information,详细的管道信息
LBL_DEWPTAT,Dew point at,露点在
LBL_DIA,Diameter,直径
LBL_DIACLEAR,Diametral Clearances,圆周率间隙
LBL_DIAGRAM,Diagram,图示
LBL_DIAGLEN,Diagonal length,对角线长度
LBL_DIFFRES,Differential resistance,差分电阻
LBL_DILUENT,Diluent,稀释剂
LBL_DIMS,Dimensions,尺寸
LBL_DIMA,Dimension A,尺寸A
LBL_DIMB,Dimension B,尺寸B
LBL_DIMHTTHK,Dimensions (height x diameter /thickness),尺寸（高 x 直径 / 厚）。
LBL_DIMHTWID,"Dimension, Height / Width",尺寸，高度/宽度
LBL_DIRFIRING,Direction of firing,开枪的方向
LBL_DISTBRNCC,Distance burner center line to tube center line,燃烧器中心线到管子中心线的距离
LBL_DISTBRNCR,Distance burner center line to unshielded refractory,燃烧器中心线到非屏蔽耐火材料的距离
LBL_DISTCOMP,Distillation data or feed composition,蒸馏数据或进料组成
LBL_DISTFRONT,Distance to front,到前面的距离
LBL_DISTILLATION,Distillation,蒸馏
LBL_DISTREAR,Distance to rear,与后方的距离
LBL_DISTRIBUTORDATA,Distributor Data,经销商数据
LBL_DISTRENTRY,Distributor entry,经销商入口
LBL_DISTREXIT,Distributor exit,经销商退出
LBL_DISTRMONITOR,Distributor monitor,经销商监控
LBL_DISTTANG,Distance to tangent,与切线的距离
LBL_DL,DL,DL
LBL_DOORS,Doors,门
LBL_DOWN,Down,下降
LBL_DOWNWARD,Downward,下行
LBL_DPALLOW,dP/Allow.,dP/允许。
LBL_DPALLOWCLNFOUL,"Pressure drop, allowable (clean /fouled)",压降，允许的（清洁/污损）。
LBL_DPALLOWIN,Pressure drop allowed in,允许的压降在
